Old_ID,Company,Company_real,New_ID
131,Optima,Optima Technology ,99
,,,
132,Optimus,Commtiva,31
,,,
133,Orange,Orange UK,100
,,,
134,Oregon,Oregon Scientific,101
,,,
135,ORSiO,TechFaith Wirelessæ,131
,,,
136,Palm,Palm,102
,,,
137,PalmOne,Palm,102
,,,
138,Panasonic,Panasonic,103
,,,
139,Pantech,Pantech,104
,,,
140,Pharos,Inventec Corporation,71
,,,
141,Philips,Philips,105
,,,
142,Pioneer,Hunan Suning Pioneer Electronics,63
,,,
143,Prestigio,Archos,11
,,,
144,Psion,Zebra Technologies,152
,,,
145,QiGi,QiGi,107
,,,
146,Qool,"Kinpo Electronics, Inc",73
,,,
147,Qtek,HTC,61
,,,
148,Qualcomm,Intrinsyc,70
,,,
149,RealAegis,Real Aegis Technology Group Limited,108
,,,
150,Red,Huawei,62
,,,
151,RIM,BlackBerry Limited,21
,,,
152,Rogers,Rogers Wireless,109
,,,
153,RoverPC,RoverComputers,111
,,,
154,RoyalTek,RoyalTek,112
,,,
155,Sagem,MiTAC International Corp,84
,,,
156,Samsung,Samsung,113
,,,
157,Sendo,Sendo,114
,,,
158,Sharp,Sharp Corporation,115
,,,
159,Sharper,"Amoi Technology Co., Ltd",8
,,,
160,Siemens,SiemensæAG,117
,,,
161,Sierra,Sierra Wireless,118
,,,
162,Silicon-i,Silicon-i,119
,,,
163,Simvalley,Simvalley Mobile,120
,,,
164,Sitronics,TechFaith Wirelessæ,131
,,,
165,Socket,"Socket Mobile, Inc",121
,,,
166,SoftBank,SoftBank,122
,,,
167,Sony,Sony Corporation,123
,,,
168,Spice,Spice Digital,125
,,,
169,Sprint,Sprint Corporation,126
,,,
170,Stuart,Foxconn Technology Group,49
,,,
171,Sunno,Sunno,127
,,,
172,Swisscom,HTC,61
,,,
173,Symbol,Zebra Technologies,152
,,,
174,T-Mobile,T-Mobile,128
,,,
175,Tapwave,Tapwave,129
,,,
176,Tatung,Tatung Company,130
,,,
177,TechFaith,TechFaith Wirelessæ,131
,,,
178,TELE,Mobile TeleSystems,86
,,,
179,Telekom,Deutsche Telekom,40
,,,
180,Telstra,HTC,61
,,,
181,The,Medical Phone Ltd,79
,,,
182,ThinkNavi,ThinkNavi ,133
,,,
183,Tibo,Tibo,134
,,,
184,TMN,ZTE,156
,,,
185,TORQ,TORQ,135
,,,
186,Toshiba,Toshiba Corporation,136
,,,
187,Trimble,Trimble Navigation,137
,,,
188,Trium,HTC,61
,,,
189,Typhoon,HTC,61
,,,
190,U.S.,Palm,102
,,,
191,UBiQUiO,TechFaith Wirelessæ,131
,,,
192,UMI,UMI DIGI,138
,,,
193,Unitech,Unitech Electronics Co Ltd,140
,,,
194,UTStarcom,HTC,61
,,,
195,Vadem,Vadem Ltd,142
,,,
196,Verizon,Verizon Communications,143
,,,
197,Vertu,Nokia Corporation,92
,,,
198,Verzio,Verzio Mobile,144
,,,
199,ViewSonic,ViewSonic,145
,,,
200,Viliv,Yukyung Technologies Ltd,151
,,,
201,Vivo,BBK Electronics Corporation,19
,,,
202,Vizio,Chi Mei Communication Systems,27
,,,
203,Vodafone,Vodafone,146
,,,
204,WayteQ,Wayteq Technology,147
,,,
205,WellcoM,Huawei,62
,,,
206,Xiaomi,Xiaomi Inc,149
,,,
207,Yakumo,MiTAC International Corp,84
,,,
208,Yarvik,Yarvik Nextec,150
,,,
209,Zenum,Zenum,153
,,,
210,Ziss,Ziss HongKong,154
,,,
211,Zopo,Zopo Mobile,155
,,,
212,ZTE,ZTE,156
,,,
213,Sony Ericsson,Sony Ericsson,124
